,Job Title,Job Salary,Job Experience Required,Skills,Role Category,Location,Functional Area,Industry,Role,Similarity
3045,Software Engineer Full Stack Developer IOT,6LPA-12LPA,03-Jun,python html css javascript. django,Programming_&_Design,GURGAON NCR DELHI,IT_Software,IT-Software Software_Services,Team Lead/Technical Lead,60.95725594248896
4239,Senior Devops Engineer,Not Disclosed,04-Sep,java python,N.A.,CHENNAI,Other,IT-Software Software_Services,Other,69.39239949905235
6073,Need UI Developers For Singapore Malaysia,Not Disclosed,02-May,java css javascript html,Programming_&_Design,HYDERABAD,IT_Software,IT-Software Software_Services,Software Developer,78.44655258093923
6560,Senior UI Developer Royal Cyber Chennai bangalore Full Time,Not Disclosed,06-Nov,html javascript css jquery,Project_Management,CHENNAI BENGALURU,IT_Software,IT-Software Software_Services,Project Manager-IT/Software,53.333707065384196
7237,Opening For PHP Developer Fresher Noida,Not Disclosed,0-0,php css html,Programming_&_Design,NOIDA,IT_Software,IT-Software Software_Services,Software Developer,57.24481709853336
9271, hiring for Experience Design web Design cms night Shift ,50k-2.75LPA,01-Jun,cms html css,Creative,MUMBAI,Design Creative User_Experience,IT-Software Software_Services,Web Designer,50.97298435555451
14317,AEM Developer yrs Pune,1LPA-4LPA,02-May,css java aem html api,Editor,PUNE,Journalism Editing Content,IT-Software Software_Services,IT/Technical Editor,50.911490269544956
15309,Job Opening for Tech Mahindra for Full Stack Engineers pune nd June,50k-3LPA,05-Aug,css javascript html,Programming_&_Design,PUNE,IT_Software,IT-Software Software_Services,Software Developer,62.32573391892746
16050,Director Engineering Iit nit Startup,Not Disclosed,04-Jul,css python project_management java php html mysql jquery ruby,Senior_Management,BENGALURU,IT_Software,IT-Software Software_Services,Head/VP/GM-Technology(IT)/CTO,60.51657684922043
16317,Product application Developer ,15LPA-30LPA,04-Sep,java nginx css javascript html python,Programming_&_Design,MUMBAI,IT_Software,IT-Software Software_Services,Team Lead/Technical Lead,67.57030585276044
17530,JavaScript Developer,2LPA-5.5LPA,02-Mar,css javascript html,N.A.,PUNE,Other,Other,Other,62.32573391892746
20801,Leading Investment Bank is Hiring For Data Analyst pune,Not Disclosed,03-Jul,data_science java css javascript data_analysis html solution_design machine_learning active_directory python,N.A.,PUNE,N.A.,IT-Software Software_Services,Other,51.022180376744906
22985,Java Fullstack Developer,Not Disclosed,04-Sep,java hibernate css html spring,Programming_&_Design,HYDERABAD,IT_Software,IT-Software Software_Services,Software Developer,61.361962453786866
25719,Java Trainer,Not Disclosed,03-Jun,java javascript python,Teachers,NOIDA,Teaching Education Training Counselling,IT-Software Software_Services,Trainer,59.49493850880964
